"","j_sys_pwsid","j_pop","j_conn","j_sys_name","j_county","j_class_new","r_sys_pwsid","r_sys_name","r_type","r_county","route_name","distance_feet","merge_type","elevation_j","elevation_r","route_elev_min","route_elev_max","route_elev_mean","route_elev_range"
"1","CA0103040",50,19,"NORRIS CANYON PROPERTY OWNERS ASSN","ALAMEDA","SWS","CA0110005","EAST BAY MUD","Community water system","ALAMEDA","CA0103040 NORRIS CANYON PROPERTY OWNERS ASSN - CA0110005 EAST BAY MUD",7210.2280209168,"Route",183.48517,115.3363,114.65237,155.93297,130.000238,41.2806
"2","CA0103041",459,191,"TRAILER HAVEN MOBILE HOME PARK","ALAMEDA","SWS","CA0110005","EAST BAY MUD","Community water system","ALAMEDA",NA,0,"Intersect",0,0,0,0,0,0
"3","CA0105002",250,17,"RIVERS END MARINA","ALAMEDA","SWS","CA3910027","MOUNTAIN HOUSE COMMUNITY SERVICES DIST.","Community water system","SAN JOAQUIN","CA0105002 RIVERS END MARINA - CA3910027 MOUNTAIN HOUSE COMMUNITY SERVICES DIST.",3339.17140902576,"Route",2.10875,4.48691,4.12659,7.51053,5.680394,3.38394
"4","CA0105008",524,206,"CASTLEWOOD DOMESTIC WATER SYSTEM","ALAMEDA","SWS","CA4310011","SAN JOSE WATER","Community water system","SANTA CLARA",NA,0,"Intersect",0,0,0,0,0,0
"5","CA0105009",50,1,"MOUNTAIN HOUSE SCHOOL","ALAMEDA","SWS","CA3910027","MOUNTAIN HOUSE COMMUNITY SERVICES DIST.","Community water system","SAN JOAQUIN","CA0105009 MOUNTAIN HOUSE SCHOOL - CA3910027 MOUNTAIN HOUSE COMMUNITY SERVICES DIST.",8656.9440727968,"Route",28.48147,15.91825,15.91825,27.95703,21.688575,12.03878
"6","CA0105013",35,2,"EBRPD - REDWOOD SPRING REGIONAL PARK","ALAMEDA","SWS","CA0110005","EAST BAY MUD","Community water system","ALAMEDA","CA0105013 EBRPD - REDWOOD SPRING REGIONAL PARK - CA0110005 EAST BAY MUD",4278.85642060272,"Route",361.22903,272.69867,220.40256,272.69867,246.321903,52.29611
"7","CA0105016",25,1,"MOUNTAIN HOUSE BAR","ALAMEDA","SWS","CA3910027","MOUNTAIN HOUSE COMMUNITY SERVICES DIST.","Community water system","SAN JOAQUIN","CA0105016 MOUNTAIN HOUSE BAR - CA3910027 MOUNTAIN HOUSE COMMUNITY SERVICES DIST.",8075.6242309776,"Route",60.58449,37.43226,37.43226,76.37414,59.701565,38.94188
"8","CA0105018",45,1,"PURPLE ORCHID RESORT SPA","ALAMEDA","SWS","CA0110011","CITY OF LIVERMORE","Community water system","ALAMEDA","CA0105018 PURPLE ORCHID RESORT SPA - CA0110011 CITY OF LIVERMORE",6462.6284940096,"Route",244.19934,217.98309,217.98309,245.07176,228.708699,27.08867
"9","CA0105020",82,32,"ALAMEDA COUNTY FAIRGROUNDS","ALAMEDA","SWS","CA0110008","CITY OF PLEASANTON","Community water system","ALAMEDA",NA,0,"Intersect",0,0,0,0,0,0
"10","CA0110010",40,13,"ZONE 7 WATER AGENCY","ALAMEDA","SWS","CA0110011","CITY OF LIVERMORE","Community water system","ALAMEDA","CA0110010 ZONE 7 WATER AGENCY - CA0110011 CITY OF LIVERMORE",6416.1929716896,"Route",248.03142,169.95203,152.81471,169.95203,157.918721,17.13732
"11","CA0110012",352,126,"TOWN OF SUNOL-SFPUC","ALAMEDA","SWS","CA0110008","CITY OF PLEASANTON","Community water system","ALAMEDA","CA0110012 TOWN OF SUNOL-SFPUC - CA0110008 CITY OF PLEASANTON",748.50258630576,"Route",161.57965,100.09526,100.08431,109.85884,104.036275,9.77453
"12","CA0110016",1500,412,"ALAMEDA POINT","ALAMEDA","SWS","CA0110005","EAST BAY MUD","Community water system","ALAMEDA",NA,0,"Intersect",0,0,0,0,0,0
"13","CA0110019",50,3,"GOLDEN GATE CHURCH","ALAMEDA","SWS","CA0110001","ALAMEDA COUNTY WATER DISTRICT","Community water system","ALAMEDA","CA0110019 GOLDEN GATE CHURCH - CA0110001 ALAMEDA COUNTY WATER DISTRICT",9619.3167844752,"Route",47.7184,30.20391,30.20391,49.0064,39.080208,18.80249
